nombre,poblacion,superficie,continente
Argentina,46003734,2736690,America
Brasil,213562666,8358140,America
Uruguay,3382537,175020,America
Chile,19945850,743532,America
Peru,34922148,1280000,America
Estados Unidos,349035494,9147420,America
Canada,40467728,9093510,America
Alemania,83644258,348560,Europa
Francia,66746401,547557,Europa
España,47850793,498800,Europa
Italia,58926166,294140,Europa
Reino Unido,69931528,241930,Europa
Japon,122427731,364555,Asia
China,1412914089,9388211,Asia
India,1476625576,2973190,Asia
Australia,27227096,7682300,Oceania
Egipto,120101175,995450,Africa
Sudafrica,65453084,1213090,Africa
Nigeria,242431832,910770,Africa
Rusia,143394458,16376870,Europa
